Inches
45.79
32.46
55.14
40.3
23.78
49.42
41.27
46.61
36.85
34.63
42.63
46.52
39.28
42.53
35.79
38.72
41.34
33.56
38.23
35.58
50.15
33.73
37.41
43.21
48.36
35.04
37.87
44.48
26.7
32.84
33.99
32.26
35.6
35.4
39.32
40.93
36.99
25.13
38.34
29.93
32.98
34.69
44.75
35.42
32.78
28.8
34.82
42.6
50.67
43.26
44.06
42.11
28.66
37.56
31.36
41.78
31.1
35.44
48.82
38.95
30.73
38.44
46.99
36.39
48.26
32.56
48.5
44.83
45.18
47.87
35.73
33.88
